Country,Year,Crop,Production
Japan,2010,Rice,8500
Japan,2011,Rice,8300
Japan,2012,Rice,6799
Japan,2013,Rice,7066
Japan,2014,Rice,5000
Japan,2010,Wheat,4650
Japan,2011,Wheat,7008
Japan,2012,Wheat,7650
Japan,2013,Wheat,4050
Japan,2014,Wheat,6660
USA,2010,Rice,60000
USA,2011,Rice,50000
USA,2012,Rice,40000
USA,2013,Rice,56000
USA,2014,Rice,65000
USA,2010,Wheat,40506
USA,2011,Wheat,43023
USA,2012,Wheat,40560
USA,2013,Wheat,80706
USA,2014,Wheat,65967
France,2010,Rice,4300
France,2011,Rice,4050
France,2012,Rice,3405
France,2013,Rice,5060
France,2014,Rice,4500
France,2010,Wheat,20202
France,2011,Wheat,21200
France,2012,Wheat,12000
France,2013,Wheat,30200
France,2014,Wheat,20030
