Area_Code,Area,Item_Code,Item,Year,Unit,Value_Yield
36,Australia,1341,Apples,1961,kg/ha,11068.2
36,Australia,1341,Apples,1962,kg/ha,12239.6
36,Australia,1341,Apples,1963,kg/ha,12724.2
36,Australia,1341,Apples,1964,kg/ha,13218.6
36,Australia,1341,Apples,1965,kg/ha,12534.0
36,Australia,1341,Apples,1966,kg/ha,13096.0
36,Australia,1341,Apples,1967,kg/ha,12836.6
36,Australia,1341,Apples,1968,kg/ha,13154.3
36,Australia,1341,Apples,1969,kg/ha,14611.9
36,Australia,1341,Apples,1970,kg/ha,14558.9
36,Australia,1341,Apples,1971,kg/ha,15148.9
36,Australia,1341,Apples,1972,kg/ha,12360.7
36,Australia,1341,Apples,1973,kg/ha,16273.4
36,Australia,1341,Apples,1974,kg/ha,14342.1
36,Australia,1341,Apples,1975,kg/ha,17275.1
36,Australia,1341,Apples,1976,kg/ha,14050.7
36,Australia,1341,Apples,1977,kg/ha,16143.0
36,Australia,1341,Apples,1978,kg/ha,14514.6
36,Australia,1341,Apples,1979,kg/ha,19281.6
36,Australia,1341,Apples,1980,kg/ha,16292.9
36,Australia,1341,Apples,1981,kg/ha,16771.6
36,Australia,1341,Apples,1982,kg/ha,16180.0
36,Australia,1341,Apples,1983,kg/ha,16438.5
36,Australia,1341,Apples,1984,kg/ha,14670.2
36,Australia,1341,Apples,1985,kg/ha,19088.9
36,Australia,1341,Apples,1986,kg/ha,15000.0
36,Australia,1341,Apples,1987,kg/ha,17002.1
36,Australia,1341,Apples,1988,kg/ha,15672.1
36,Australia,1341,Apples,1989,kg/ha,16345.1
36,Australia,1341,Apples,1990,kg/ha,15137.6
36,Australia,1341,Apples,1991,kg/ha,14153.4
36,Australia,1341,Apples,1992,kg/ha,16045.7
36,Australia,1341,Apples,1993,kg/ha,16639.2
36,Australia,1341,Apples,1994,kg/ha,15563.9
36,Australia,1341,Apples,1995,kg/ha,16028.1
36,Australia,1341,Apples,1996,kg/ha,14184.7
36,Australia,1341,Apples,1997,kg/ha,17872.4
36,Australia,1341,Apples,1998,kg/ha,15630.4
36,Australia,1341,Apples,1999,kg/ha,16920.7
36,Australia,1341,Apples,2000,kg/ha,16226.0
36,Australia,1341,Apples,2001,kg/ha,12106.7
36,Australia,1341,Apples,2002,kg/ha,13193.8
36,Australia,1341,Apples,2003,kg/ha,15527.2
36,Australia,1341,Apples,2004,kg/ha,13916.2
36,Australia,1341,Apples,2005,kg/ha,22080.5
36,Australia,1341,Apples,2006,kg/ha,15062.6
36,Australia,1341,Apples,2007,kg/ha,18899.0
36,Australia,1341,Apples,2008,kg/ha,16147.4
36,Australia,1341,Apples,2009,kg/ha,13415.2
36,Australia,1341,Apples,2010,kg/ha,15745.7
36,Australia,1341,Apples,2011,kg/ha,15954.5
36,Australia,1341,Apples,2012,kg/ha,16009.1
36,Australia,1341,Apples,2013,kg/ha,16035.0
36,Australia,1341,Apples,2014,kg/ha,15970.7
36,Australia,1341,Apples,2015,kg/ha,15949.9
36,Australia,1341,Apples,2016,kg/ha,15961.7
36,Australia,1341,Apples,2017,kg/ha,15968.6
36,Australia,1341,Apples,2018,kg/ha,15945.0
36,Australia,1341,Apples,2019,kg/ha,15938.4
36,Australia,1341,Apples,2020,kg/ha,15909.1
36,Australia,1341,Apples,2021,kg/ha,15869.3
36,Australia,1341,Apples,2022,kg/ha,15864.2
36,Australia,1341,Apples,2023,kg/ha,15859.1
36,Australia,1311,Avocados,1985,kg/ha,2592.6
36,Australia,1311,Avocados,1986,kg/ha,3233.3
36,Australia,1311,Avocados,1987,kg/ha,3266.0
36,Australia,1311,Avocados,1988,kg/ha,3574.8
36,Australia,1311,Avocados,1989,kg/ha,3681.9
36,Australia,1311,Avocados,1990,kg/ha,4139.7
36,Australia,1311,Avocados,1991,kg/ha,3847.3
36,Australia,1311,Avocados,1992,kg/ha,4039.1
36,Australia,1311,Avocados,1993,kg/ha,4044.1
36,Australia,1311,Avocados,1994,kg/ha,4000.0
36,Australia,1311,Avocados,1995,kg/ha,4010.3
36,Australia,1311,Avocados,1996,kg/ha,4003.9
36,Australia,1311,Avocados,1997,kg/ha,4014.4
36,Australia,1311,Avocados,1998,kg/ha,4130.5
36,Australia,1311,Avocados,1999,kg/ha,4051.8
36,Australia,1311,Avocados,2000,kg/ha,4284.8
36,Australia,1311,Avocados,2001,kg/ha,4589.8
36,Australia,1311,Avocados,2002,kg/ha,4747.5
36,Australia,1311,Avocados,2003,kg/ha,5066.4
36,Australia,1311,Avocados,2004,kg/ha,4762.3
36,Australia,1311,Avocados,2005,kg/ha,4662.0
36,Australia,1311,Avocados,2006,kg/ha,4785.0
36,Australia,1311,Avocados,2007,kg/ha,4820.2
36,Australia,1311,Avocados,2008,kg/ha,4667.1
36,Australia,1311,Avocados,2009,kg/ha,4497.6
36,Australia,1311,Avocados,2010,kg/ha,4247.5
36,Australia,1311,Avocados,2011,kg/ha,3823.7
36,Australia,1311,Avocados,2012,kg/ha,4895.1
36,Australia,1311,Avocados,2013,kg/ha,4816.5
36,Australia,1311,Avocados,2014,kg/ha,4885.4
36,Australia,1311,Avocados,2015,kg/ha,4744.1
36,Australia,1311,Avocados,2016,kg/ha,4685.5
36,Australia,1311,Avocados,2017,kg/ha,4674.8
36,Australia,1311,Avocados,2018,kg/ha,4712.2
36,Australia,1311,Avocados,2019,kg/ha,4904.0
36,Australia,1311,Avocados,2020,kg/ha,5090.2
36,Australia,1311,Avocados,2021,kg/ha,5250.7
36,Australia,1311,Avocados,2022,kg/ha,5418.3
36,Australia,1311,Avocados,2023,kg/ha,6029.5
36,Australia,1312,Bananas,1961,kg/ha,11964.0
36,Australia,1312,Bananas,1962,kg/ha,11964.0
36,Australia,1312,Bananas,1963,kg/ha,11188.1
36,Australia,1312,Bananas,1964,kg/ha,12469.0
36,Australia,1312,Bananas,1965,kg/ha,13043.2
36,Australia,1312,Bananas,1966,kg/ha,12670.4
36,Australia,1312,Bananas,1967,kg/ha,13634.1
36,Australia,1312,Bananas,1968,kg/ha,13971.3
36,Australia,1312,Bananas,1969,kg/ha,13268.6
36,Australia,1312,Bananas,1970,kg/ha,13913.9
